variable,type,stat,p_value,effect,effect_name,spearman_r,spearman_p
avg_price,continuous,0.00017709481463724192,0.9961861897160222,3.136257337139907e-08,r^2,-0.007062474839799561,0.848820329911768
avg_discount,continuous,0.007882996462964472,0.8315054032832822,6.214163323511037e-05,r^2,0.023546463909619415,0.5250210873986099
promo_fraction,continuous,-0.008483365125297602,0.8188872259240211,7.19674838491156e-05,r^2,-0.00649877090675543,0.860758659506187
avg_competitor_pricing,continuous,0.0028311097125863936,0.9390898066450615,8.015182204701012e-06,r^2,-0.005988251045674157,0.8715981841515048
dominant_weather,categorical,2.009848143407555,0.11118274085257183,0.008225513522663448,eta^2,,
dominant_season,categorical,1.2122113453323222,0.3042812623286727,0.0049773497065270025,eta^2,,
weekday,categorical,0.7964727145655914,0.5728114313918886,0.006557320341159021,eta^2,,
is_weekend,categorical,0.44850827374040814,0.5032562630427673,0.0006148594022103152,eta^2,,
avg_inventory_level [EXCLUDED: leakage risk],continuous,0.6040812232751691,6.6181049437535094e-74,0.3649141243136247,r^2,,
avg_units_ordered [EXCLUDED: leakage risk],continuous,-0.06458085295371004,0.08100106686131452,0.004170686568228718,r^2,,
avg_demand_forecast [EXCLUDED: leakage risk],continuous,0.9965726813402462,0.0,0.9931571091936879,r^2,,
